Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	15:41 2/2/2020	115
Jim	15:41 2/2/2020	143
Lana	15:55 2/2/2020	124
Tom	15:55 2/2/2020	168
Jim	15:55 2/2/2020	109
Jim	15:56 2/2/2020	123
TomH	15:56 2/2/2020	130
Lana	15:56 2/2/2020	162
Tom	15:37 2/5/2020	122
Mike	23:31 2/0/2020	156
Jim	23:33 2/0/2020	212
Tom	23:33 2/0/2020	108
Lana	23:33 2/0/2020	109
Jim	23:33 2/0/2020	90
Lana	23:33 2/0/2020	147
Mike	23:33 2/0/2020	99
Tom	22:56 2/1/2020	114
Tom	22:56 2/1/2020	126
TomH	22:56 2/1/2020	145
Jim	22:56 2/1/2020	119
Lana	22:56 2/1/2020	156
Jim	22:57 2/1/2020	151
Lana	22:57 2/1/2020	167
TomH	22:57 2/1/2020	138
Jim	23:4 2/1/2020	163
Tom	23:4 2/1/2020	144
Tom	23:4 2/1/2020	153
Jim	23:4 2/1/2020	121
Jim	23:4 2/1/2020	129
Lana	23:4 2/1/2020	113
Jim	0:51 2/2/2020	81
Tom	0:51 2/2/2020	122
TomH	0:51 2/2/2020	133
Mike	15:33 2/2/2020	116
Tom	15:33 2/2/2020	154
Lana	15:34 2/2/2020	138
Tom	15:34 2/2/2020	86
Lana	15:34 2/2/2020	106
Jim	15:34 2/2/2020	174
Tom	16:47 2/2/2020	87
Jim	16:47 2/2/2020	156
Mike	16:47 2/2/2020	92
Tom	16:47 2/2/2020	153
TomH	16:47 2/2/2020	126
Jim	16:47 2/2/2020	142
Tom	23:17 2/2/2020	125
Lana	23:17 2/2/2020	109
tommy	17:24 3/3/2020	146
Mike	18:42 3/3/2020	156
Jim	18:44 3/3/2020	143
Tom	18:45 3/3/2020	142
TomH	18:47 3/3/2020	165
Mike	18:48 3/3/2020	98
Mike	19:7 3/3/2020	94
Mike	19:8 3/3/2020	114
Jim	19:9 3/3/2020	124
Jim	19:9 3/3/2020	116
