Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	15:41 2/2/2020	115
Jim	15:41 2/2/2020	143
Lana	15:55 2/2/2020	124
Tom	15:55 2/2/2020	168
Jim	15:55 2/2/2020	109
Jim	15:56 2/2/2020	123
TomH	15:56 2/2/2020	130
Lana	15:56 2/2/2020	162
Tom	15:37 2/5/2020	122
Mike	23:31 2/0/2020	156
Jim	23:33 2/0/2020	212
Tom	23:33 2/0/2020	108
Lana	23:33 2/0/2020	109
Jim	23:33 2/0/2020	90
Lana	23:33 2/0/2020	147
Mike	23:33 2/0/2020	99
Tom	22:56 2/1/2020	114
Tom	22:56 2/1/2020	126
TomH	22:56 2/1/2020	145
Jim	22:56 2/1/2020	119
Lana	22:56 2/1/2020	156
Jim	22:57 2/1/2020	151
Lana	22:57 2/1/2020	167
TomH	22:57 2/1/2020	138
Jim	23:4 2/1/2020	163
Tom	23:4 2/1/2020	144
Tom	23:4 2/1/2020	153
Jim	23:4 2/1/2020	121
Jim	23:4 2/1/2020	129
Lana	23:4 2/1/2020	113
Jim	0:51 2/2/2020	81
Tom	0:51 2/2/2020	122
TomH	0:51 2/2/2020	133
Mike	15:33 2/2/2020	116
Tom	15:33 2/2/2020	154
Lana	15:34 2/2/2020	138
Tom	15:34 2/2/2020	86
Lana	15:34 2/2/2020	106
Jim	15:34 2/2/2020	174
Tom	16:47 2/2/2020	87
Jim	16:47 2/2/2020	156
Mike	16:47 2/2/2020	92
Tom	16:47 2/2/2020	153
TomH	16:47 2/2/2020	126
Jim	16:47 2/2/2020	142
Tom	23:17 2/2/2020	125
Lana	23:17 2/2/2020	109
tommy	17:24 3/3/2020	146
Mike	18:42 3/3/2020	156
Jim	18:44 3/3/2020	143
Tom	18:45 3/3/2020	142
TomH	18:47 3/3/2020	165
Mike	18:48 3/3/2020	98
Mike	19:7 3/3/2020	94
Mike	19:8 3/3/2020	114
Jim	19:9 3/3/2020	124
Jim	19:9 3/3/2020	116
TomH	22:19 3/3/2020	151
TomH	22:19 3/3/2020	135
Tom	22:19 3/3/2020	132
Jim	22:34 3/3/2020	145
Lana	22:35 3/3/2020	188
Tom	22:44 3/3/2020	103
Jim	22:44 3/3/2020	127
Tom	22:1 3/4/2020	200
Jim	22:1 3/4/2020	109
Jim	22:3 3/4/2020	137
Lana	22:3 3/4/2020	98
Lana	22:3 3/4/2020	147
Mike	22:3 3/4/2020	122
Mike	22:37 3/4/2020	167
Jim	22:37 3/4/2020	114
Mike	22:53 3/4/2020	140
Lana	22:53 3/4/2020	99
Jim	22:55 3/4/2020	147
Lana	22:55 3/4/2020	167
Lana	22:55 3/4/2020	129
d	22:55 3/4/2020	152
Jim	22:55 3/4/2020	150
TomH	22:55 3/4/2020	163
Lana	22:55 3/4/2020	139
Jim	22:55 3/4/2020	101
d	22:55 3/4/2020	101
TomH	22:57 3/4/2020	94
Mike	22:57 3/4/2020	121
Jim	22:57 3/4/2020	121
Tom	22:57 3/4/2020	142
Lana	22:57 3/4/2020	126
Mike	23:0 3/4/2020	125
Jim	23:0 3/4/2020	141
Tom	23:0 3/4/2020	113
Lana	23:1 3/4/2020	132
TomH	23:1 3/4/2020	173
d	23:1 3/4/2020	152
Mike	23:4 3/4/2020	117
Jim	23:4 3/4/2020	123
Lana	23:4 3/4/2020	132
Tom	23:4 3/4/2020	136
Lana	23:4 3/4/2020	149
d	23:4 3/4/2020	84
Mike	23:25 3/4/2020	89
Jim	23:25 3/4/2020	108
Tom	23:25 3/4/2020	153
Lana	23:25 3/4/2020	127
TomH	23:25 3/4/2020	99
d	23:25 3/4/2020	139
Tom	23:30 3/4/2020	108
Lana	23:30 3/4/2020	141
Mike	23:30 3/4/2020	107
Jim	23:30 3/4/2020	127
TomH	23:30 3/4/2020	142
d	23:30 3/4/2020	163
Jim	23:39 3/4/2020	138
Tom	23:39 3/4/2020	157
Jim	23:40 3/4/2020	139
Mike	0:55 3/1/2020	136
Jim	0:55 3/1/2020	123
Mike	0:58 3/1/2020	136
Jim	0:58 3/1/2020	157
Tom	0:59 3/1/2020	133
Jim	0:59 3/1/2020	138
Tom	0:59 3/1/2020	138
Lana	17:17 3/2/2020	125
Tom	19:27 3/2/2020	123
Tom	19:27 3/2/2020	144
Lana	19:27 3/2/2020	127
TomH	19:27 3/2/2020	129
Jim	19:35 3/2/2020	150
Lana	19:35 3/2/2020	98
Tom	19:35 3/2/2020	171
Lana	19:35 3/2/2020	152
Mike	19:35 3/2/2020	116
d	19:36 3/2/2020	155
Lana	21:24 3/2/2020	108
d	21:24 3/2/2020	149
Jim	21:24 3/2/2020	141
Tom	21:24 3/2/2020	143
